event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57983.989,17.45,0.01,F,J,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.989,17.77,0.02,F,Ks,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.9895,17.987,0.026,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9902,17.52,0.01,F,H,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57983.9908,17.776,0.021,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.991,18.00,0.06,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57983.991397,17.31,,F,I,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.991397,17.67,0.01,F,R,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.991397,18.18,0.01,F,V,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.991397,18.64,0.02,F,g,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.991397,17.78,0.02,F,i,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.991397,17.92,0.01,F,r,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.9918,17.793,0.024,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9929,17.795,0.025,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9942,18.653,0.034,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9948,18.22,0.04,F,V,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57983.9953,18.604,0.038,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9963,18.632,0.037,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9975,18.025,0.026,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9986,18.017,0.023,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.999,17.23,0.01,F,Y,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.9997,18.041,0.022,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.00,17.951,0.020,F,r,AB,XS,VLT,2017arXiv171005858P
GW170817,57984.00,17.654,0.070,F,z,AB,XS,VLT,2017arXiv171005858P
GW170817,57984.000219907415,17.630000000000006,0.1,F,H,AB,Gemini,,2017ApJ...848L..17C
GW170817,57984.0009,17.743,0.024,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.002,17.856,0.028,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0022,17.32,0.01,F,J1,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57984.0031,17.847,0.025,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0043,18.693,0.036,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0054,18.666,0.030,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0065,18.623,0.036,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0077,18.008,0.020,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0088,18.008,0.023,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0099,18.069,0.027,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.010,18.29,0.06,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57984.0105,18.14,0.04,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.011,17.825,0.033,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0118,18.16,0.06,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.0121,17.772,0.025,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0129,18.18,0.04,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.0132,17.866,0.032,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0145,18.683,0.035,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0156,18.667,0.038,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0166,18.568,0.030,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0178,18.029,0.024,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0189,18.053,0.030,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.02,18.041,0.022,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0212,17.831,0.029,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0223,17.898,0.031,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.0233,17.880,0.033,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57984.030619,20.79,,F,U,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.0342,19.07,0.04,F,B,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57984.0438,17.80,0.02,F,i,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57984.0461,18.25,0.06,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.0471,18.18,0.10,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.0472,17.98,0.02,F,r,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57984.0481,20.11,0.23,F,U,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.04811,20.25,0.29,F,U,AB,EFOSC2,NTT,2017arXiv171005841S
GW170817,57984.0520,20.21,0.28,F,U,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.052219,22.07,,T,M2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57984.0548,18.49,0.12,F,g,AB,Swope,Swope,"2017Sci...358.1570D,2017ApJ...851L..21V"
GW170817,57984.0559,20.10,0.28,F,U,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57984.057819,21.20,,T,W1,AB,UVOT,Swift,2017arXiv171005437E
