time-rel               g               r               i               z
 135.872  -15.9680212766         -15.856        -16.1766   -16.352538272
 136.372  -15.9728464419         -15.856  -16.1818631579  -16.3602915352
 136.872  -15.9789325843         -15.856  -16.1871263158  -16.3680447983
 137.372  -15.9850187266         -15.856  -16.1923894737  -16.3757980615
 137.872  -15.9911048689         -15.856  -16.1976526316  -16.3835513246
 138.372  -15.9971910112         -15.856  -16.2024321429  -16.3905921183
 138.872  -16.0032771536         -15.856  -16.2070452381  -16.3973877611
 139.372  -16.0093632959         -15.856  -16.2116583333   -16.404183404
 139.872  -16.0154494382         -15.856  -16.2162714286  -16.4109790469
 140.372  -16.0214371795         -15.856  -16.2208845238  -16.4177746897
 140.872  -16.0264051282         -15.856   -16.225497619  -16.4245703326
 141.372  -16.0313730769         -15.856  -16.2300913978    -16.43133752
 141.872  -16.0363410256         -15.856  -16.2338996416    -16.43694752
 142.372  -16.0413089744         -15.856  -16.2377078853    -16.44255752
