time,band,flux,fluxerr,zp,zpsys,mag
16.6,desr,55672959049.24034,235951.38520780188,50.0,ab,0.45295146870340375
16.700000000000003,desr,55376480245.800835,235322.81306414693,50.0,ab,0.45874886016598637
16.800000000000004,desr,55081050912.11585,234694.20642474684,50.0,ab,0.46455668666753525
16.9,desr,54786413811.482956,234065.47562131987,50.0,ab,0.47038004729772354
17.0,desr,54492723983.08494,233436.53001940734,50.0,ab,0.47621593608319657
17.1,desr,54199111328.571724,232807.2780046665,50.0,ab,0.4820818166929648
17.200000000000003,desr,53906695929.24853,232177.6269685674,50.0,ab,0.48795544676380587
17.300000000000004,desr,53614235190.025635,231547.4832934716,50.0,ab,0.4938619431612459
17.4,desr,53322492642.98757,230916.75233706454,50.0,ab,0.4997861235261425
17.5,desr,53031238832.40207,230285.3384161152,50.0,ab,0.5057327996429528
17.6,desr,52740549919.03184,229653.1447895332,50.0,ab,0.511700596460944
17.700000000000003,desr,52449631610.82852,229020.07364069516,50.0,ab,0.5177061255049686
17.800000000000004,desr,52160245702.45702,228386.02605900686,50.0,ab,0.5237131597815328
17.9,desr,51870469539.53846,227750.90202067152,50.0,ab,0.5297617827163137
18.0,desr,51580951226.28538,227115.016899169,50.0,ab,0.5358388637842566
18.1,desr,51292373627.0717,226478.69373160173,50.0,ab,0.5419302381932241
18.200000000000003,desr,51004615960.005905,225841.84238536202,50.0,ab,0.5480385262797789
18.300000000000004,desr,50717367158.70956,225204.3717049753,50.0,ab,0.5541704801165146
18.4,desr,50430196732.82907,224566.18949526537,50.0,ab,0.5603355750346033
18.5,desr,50143071185.178314,223927.20250381305,50.0,ab,0.5665349052501654
18.6,desr,49857684809.64973,223287.31640267928,50.0,ab,0.5727319616298274
18.700000000000003,desr,49571370929.96086,222646.43576935976,50.0,ab,0.5789849065464487
18.800000000000004,desr,49286085799.887314,222004.46406693917,50.0,ab,0.5852514091350933
18.9,desr,49000476312.25398,221361.30362340814,50.0,ab,0.5915614769067687
19.0,desr,48715571355.49498,220716.85561010902,50.0,ab,0.5978927297643075
19.1,desr,48430814745.07894,220071.0200192718,50.0,ab,0.6042577930332982
19.200000000000003,desr,48146741505.16393,219423.69564059956,50.0,ab,0.6106449807578507
